Date,Case_Number,jerk_threshold,mean_jerk,std_jerk,jerk_threshold_cal,snap_threshold_cal,Number_failed_attempts,sa_2axes_py,sumua_py,rs_2axes_py
2025-04-09_11.09,382913,5.7209199129367875e-12,4.766962028070671e-12,1.578626493498403e-08,1.262948864419003e-07,1.4788620050607076e-14,2415,3.04438154710949,29434.607018274073,122.84911797845953
2025-04-09_11.18,382913,1.578626493498403e-08,4.766962028070671e-12,1.578626493498403e-08,1.262948864419003e-07,1.4788620050607076e-14,2415,3.04438154710949,29434.607018274073,122.84911797845953
2025-04-09_11.19,382913,1.262948864419003e-07,4.766962028070671e-12,1.578626493498403e-08,1.262948864419003e-07,1.4788620050607076e-14,2415,3.04438154710949,29434.607018274073,122.84911797845953
2025-04-09_11.20,382913,1.262948864419003e-07,4.766962028070671e-12,1.578626493498403e-08,3.1573006566170866e-07,3.697149387684957e-14,1205,3.04438154710949,15700.756120061438,103.15620802642198
2025-04-09_11.24,382913,1.262948864419003e-07,4.766962028070671e-12,1.578626493498403e-08,3.1573006566170866e-07,3.697149387684957e-14,1205,3.04438154710949,15700.756120061438,103.15620802642198
2025-04-09_11.25,382913,1.262948864419003e-07,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-09_11.26,382913,4.735927150115489e-07,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-09_11.27,382913,4.735927150115489e-07,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-09_11.28,382913,4.735927150115489e-07,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-09_11.30,382913,-2.0,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-09_11.30,382913,2.0,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-09_11.32,382913,-5.0,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-09_11.32,382913,-4.0,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-09_14.42,382913,-4.0,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
2025-04-18_14.08,382913,-4.0,4.766962028070671e-12,1.578626493498403e-08,4.735927150115489e-07,5.545722206538498e-14,401,9.916953677761086,6119.6029568200875,79.38501182224975
